"PERIODE";"IAS_brut";"IAS_lisse";"Incidence_Sentinelles"
2009-07-01;1,7;2,2;2,3
2009-07-02;3,4;2,1;2,3
2009-07-03;2,1;2,1;2,3
2009-07-04;1,3;2;2,3
2009-07-05;14,2;2;2,3
2009-07-06;1,4;2;3,6
2009-07-07;2,2;1,9;3,6
2009-07-08;1,7;2;3,6
2009-07-09;2,3;2;3,6
2009-07-10;2,7;2,1;3,6
2009-07-11;0,9;2,1;3,6
2009-07-12;563,3;2,1;3,6
2009-07-13;2,3;2,1;2,4
2009-07-14;365,1;2,1;2,4
2009-07-15;1,8;2,2;2,4
2009-07-16;1,9;2,3;2,4
2009-07-17;1,1;2,6;2,4
2009-07-18;5,1;2,8;2,4
2009-07-19;42,1;3,1;2,4
2009-07-20;4,1;3,4;3,1
2009-07-21;3,4;3,7;3,1
2009-07-22;6,2;3,9;3,1
2009-07-23;4,2;3,8;3,1
2009-07-24;2,2;3,7;3,1
2009-07-25;6;3,4;3,1
2009-07-26;23,1;3,2;3,1
2009-07-27;2,9;2,9;6,9
2009-07-28;2,2;2,8;6,9
2009-07-29;2;2,7;6,9
2009-07-30;2,4;2,7;6,9
2009-07-31;3,6;2,7;6,9
2009-08-01;2,2;2,7;6,9
2009-08-02;202,8;2,6;6,9
2009-08-03;4;2,6;5,3
2009-08-04;1,6;2,5;5,3
2009-08-05;2,9;2,5;5,3
2009-08-06;2,1;2,5;5,3
2009-08-07;1,4;2,5;5,3
2009-08-08;3,4;2,5;5,3
2009-08-09;97;2,6;5,3
2009-08-10;2,3;2,6;5,6
2009-08-11;3,6;2,7;5,6
2009-08-12;5;2,7;5,6
2009-08-13;1,8;2,7;5,6
2009-08-14;0,8;2,6;5,6
2009-08-15;69,9;2,5;5,6
2009-08-16;443,6;2,3;5,6
2009-08-17;5,9;2,1;5,7
2009-08-18;1;1,9;5,7
2009-08-19;1,1;1,9;5,7
2009-08-20;2,2;1,9;5,7
2009-08-21;0,6;1,9;5,7
2009-08-22;2,5;2,1;5,7
2009-08-23;0,2;2,3;5,7
2009-08-24;3,9;2,6;7,1
2009-08-25;2,5;3;7,1
2009-08-26;2,9;3,3;7,1
2009-08-27;5,8;3,7;7,1
2009-08-28;3,7;4,1;7,1
2009-08-29;2,1;4,6;7,1
2009-08-30;3;5,1;7,1
2009-08-31;7,2;5,8;10,4
2009-09-01;5,1;6,5;10,4
2009-09-02;8,4;7,5;10,4
2009-09-03;9,4;8,8;10,4
2009-09-04;8,4;10,3;10,4
2009-09-05;5,8;12,1;10,4
2009-09-06;5185,8;14,2;10,4
2009-09-07;36,2;16,5;23
2009-09-08;13,1;19;23
2009-09-09;18,8;21,9;23
2009-09-10;27,8;25,8;23
2009-09-11;18,9;31,1;23
2009-09-12;27,9;38,3;23
2009-09-13;3553,1;47,4;23
2009-09-14;51,9;57,6;31,4
2009-09-15;89;67,9;31,4
2009-09-16;69,8;77,5;31,4
2009-09-17;196,1;84,6;31,4
2009-09-18;56,6;87,7;31,4
2009-09-19;55,7;86,1;31,4
2009-09-20;401,3;80,2;31,4
2009-09-21;167,4;72,1;27,6
2009-09-22;88,5;63,4;27,6
2009-09-23;33,6;55;27,6
2009-09-24;72,4;47,1;27,6
2009-09-25;18,7;40,1;27,6
2009-09-26;19,1;33,9;27,6
2009-09-27;1734,4;28,8;27,6
2009-09-28;39,9;25,4;25,4
2009-09-29;21,8;23,6;25,4
2009-09-30;13,9;22,9;25,4
2009-10-01;34,6;23,2;25,4
2009-10-02;10,2;23,8;25,4
2009-10-03;18,2;24,3;25,4
2009-10-04;2181,5;24,5;25,4
2009-10-05;49,2;24,5;22,9
2009-10-06;32,5;24,4;22,9
2009-10-07;27,3;24,1;22,9
2009-10-08;21,5;23,6;22,9
2009-10-09;7,1;23;22,9
2009-10-10;15,8;22;22,9
2009-10-11;2299,3;21,3;22,9
2009-10-12;43,2;21,3;22,6
2009-10-13;17,1;21,9;22,6
2009-10-14;29;23,1;22,6
2009-10-15;15,8;24,9;22,6
2009-10-16;13,4;27;22,6
2009-10-17;38,8;29,3;22,6
2009-10-18;4915,4;31,9;22,6
2009-10-19;31,9;35;29,9
2009-10-20;55,6;38,1;29,9
2009-10-21;42,8;40,5;29,9
2009-10-22;49,7;41,7;29,9
2009-10-23;22,8;41,4;29,9
2009-10-24;52,8;40,4;29,9
2009-10-25;1978,7;39,2;29,9
2009-10-26;58,1;37,7;38,7
2009-10-27;27,3;36,8;38,7
2009-10-28;26,9;36,8;38,7
2009-10-29;40,8;37;38,7
2009-10-30;33,6;36,9;38,7
2009-10-31;20,1;36,2;38,7
2009-11-01;2635,1;35,2;38,7
2009-11-02;77,5;34,1;33,4
2009-11-03;43;33;33,4
2009-11-04;16,1;31,9;33,4
2009-11-05;28;30,9;33,4
2009-11-06;19,5;30,4;33,4
2009-11-07;25;30,1;33,4
2009-11-08;1162,7;30,2;33,4
2009-11-09;46,9;31,1;50,9
2009-11-10;26,2;33,6;50,9
2009-11-11;1256,2;37,9;50,9
2009-11-12;35,7;44,1;50,9
2009-11-13;26,9;52,8;50,9
2009-11-14;29,9;64,5;50,9
2009-11-15;25076,9;79,6;50,9
2009-11-16;195;97;86,1
2009-11-17;80,1;116,5;86,1
2009-11-18;113,2;140,1;86,1
2009-11-19;228,1;166,8;86,1
2009-11-20;152,6;193,1;86,1
2009-11-21;178,2;219,4;86,1
2009-11-22;2660,7;246,9;86,1
2009-11-23;510;274,2;106,3
2009-11-24;257,8;298,7;106,3
2009-11-25;267,8;320,2;106,3
2009-11-26;413,5;338;106,3
2009-11-27;264,2;350,4;106,3
2009-11-28;280,7;354,4;106,3
2009-11-29;2086,6;348;106,3
2009-11-30;715,2;334,4;107,7
2009-12-01;340,1;321;107,7
2009-12-02;284,4;311;107,7
2009-12-03;346,5;304,2;107,7
2009-12-04;135,2;297,9;107,7
2009-12-05;62,2;286,6;107,7
2009-12-06;2552,6;269,4;107,7
2009-12-07;1022,2;251,8;86,3
2009-12-08;263,6;235,7;86,3
2009-12-09;273,9;218,3;86,3
2009-12-10;155,4;197,6;86,3
2009-12-11;49,5;172,2;86,3
2009-12-12;94,5;144;86,3
2009-12-13;938,9;118,1;86,3
2009-12-14;215,1;99,7;56,4
2009-12-15;136;87,5;56,4
2009-12-16;56,6;77,2;56,4
2009-12-17;48;67,1;56,4
2009-12-18;42,1;56,7;56,4
2009-12-19;30,2;47,6;56,4
2009-12-20;385,6;40,4;56,4
2009-12-21;41,7;35,5;39,3
2009-12-22;34,1;33,2;39,3
2009-12-23;16,4;32,5;39,3
2009-12-24;36,8;31,9;39,3
2009-12-25;1875,3;30,8;39,3
2009-12-26;16,3;29,5;39,3
2009-12-27;2917,2;27,9;39,3
2009-12-28;67,7;26,5;21,9
2009-12-29;14,9;25,9;21,9
2009-12-30;14,8;25,7;21,9
2009-12-31;15,9;25,2;21,9
2010-01-01;566,8;24,8;21,9
2010-01-02;18,8;24,2;21,9
2010-01-03;1583,1;23,2;21,9
2010-01-04;78,6;22,2;15,1
2010-01-05;8,4;21,2;15,1
2010-01-06;18,9;19,7;15,1
2010-01-07;25,8;18;15,1
2010-01-08;7,8;16,2;15,1
2010-01-09;10,4;14,2;15,1
2010-01-10;53,5;12,3;15,1
2010-01-11;19,9;10,8;9,3
2010-01-12;11,1;9,8;9,3
2010-01-13;11,3;9;9,3
2010-01-14;3,8;8,6;9,3
2010-01-15;3,9;8,3;9,3
2010-01-16;6;8;9,3
2010-01-17;9545,7;7,7;9,3
2010-01-18;13,2;7,5;8,3
2010-01-19;10,1;7,5;8,3
2010-01-20;5,5;7,4;8,3
2010-01-21;5,9;7,3;8,3
2010-01-22;5,5;7;8,3
2010-01-23;4,3;6,7;8,3
2010-01-24;37,6;6,4;8,3
2010-01-25;10,2;6,3;7,7
2010-01-26;6,5;6,2;7,7
2010-01-27;5,4;6,2;7,7
2010-01-28;5,7;6,1;7,7
2010-01-29;5;6;7,7
2010-01-30;5,5;5,9;7,7
2010-01-31;169,9;5,8;7,7
2010-02-01;5,7;5,6;5
2010-02-02;4,6;5,5;5
2010-02-03;11,1;5,4;5
2010-02-04;4;5,2;5
2010-02-05;4,5;5,1;5
2010-02-06;1,6;4,9;5
2010-02-07;10,4;4,6;5
2010-02-08;8,4;4,4;6,3
2010-02-09;5,9;4,2;6,3
2010-02-10;3,3;4,1;6,3
2010-02-11;3,2;4,1;6,3
2010-02-12;2,2;4,1;6,3
2010-02-13;4,4;4,1;6,3
2010-02-14;43,4;4,2;6,3
2010-02-15;6,9;4,4;4,4
2010-02-16;3,5;4,7;4,4
2010-02-17;3,9;4,9;4,4
2010-02-18;7,3;5;4,4
2010-02-19;3,7;5;4,4
2010-02-20;8,5;4,8;4,4
2010-02-21;586,8;4,4;4,4
2010-02-22;4,8;4;3,6
2010-02-23;2,6;3,6;3,6
2010-02-24;6,1;3,2;3,6
2010-02-25;2,7;2,8;3,6
2010-02-26;0,8;2,5;3,6
2010-02-27;1,9;2,3;3,6
2010-02-28;10,2;2,2;3,6
2010-03-01;3,1;2,2;2,7
2010-03-02;1,2;2,2;2,7
2010-03-03;3,2;2,3;2,7
2010-03-04;3,1;2,4;2,7
2010-03-05;2,2;2,4;2,7
2010-03-06;1,6;2,4;2,7
2010-03-07;32,9;2,4;2,7
2010-03-08;3,3;2,4;2
2010-03-09;2,3;2,3;2
2010-03-10;2,2;2,3;2
2010-03-11;2;2,2;2
2010-03-12;1,8;2,1;2
2010-03-13;2,1;2;2
2010-03-14;7,4;1,9;2
2010-03-15;2,7;1,9;2
2010-03-16;1,5;2;2
2010-03-17;1,2;2;2
2010-03-18;1,4;2,1;2
2010-03-19;3;2,2;2
2010-03-20;4;2,3;2
2010-03-21;243,1;2,4;2
2010-03-22;2,9;2,5;1,6
2010-03-23;1,2;2,5;1,6
2010-03-24;4,5;2,4;1,6
2010-03-25;2;2,3;1,6
2010-03-26;1,7;2,2;1,6
2010-03-27;2,9;2,2;1,6
2010-03-28;0,1;2;1,6
2010-03-29;2,3;1,9;1,6
2010-03-30;1,4;1,8;1,6
2010-03-31;1,9;1,7;1,6
2010-04-01;3,3;1,6;1,6
2010-04-02;0,6;1,6;1,6
2010-04-03;1,1;1,5;1,6
2010-04-04;11;1,4;1,6
2010-04-05;19,4;1,3;1,4
2010-04-06;1,4;1,3;1,4
2010-04-07;1,4;1,3;1,4
2010-04-08;1,5;1,4;1,4
2010-04-09;0,6;1,4;1,4
2010-04-10;2,3;1,4;1,4
2010-04-11;1,6;1,4;1,4
2010-04-12;2,4;1,5;0,9
2010-04-13;1,8;1,5;0,9
2010-04-14;0,5;1,4;0,9
2010-04-15;1,6;1,4;0,9
2010-04-16;2,2;1,3;0,9
2010-04-17;2;1,2;0,9
2010-04-18;68,5;1,2;0,9
2010-04-19;0,3;1,2;0,9
2010-04-20;0,6;1,2;0,9
2010-04-21;2,3;1,2;0,9
2010-04-22;1,9;1,2;0,9
2010-04-23;1,8;1,2;0,9
2010-04-24;0,4;1,2;0,9
2010-04-25;8,5;1,2;0,9
2010-04-26;1,5;1,1;0,6
2010-04-27;1,1;1;0,6
2010-04-28;0,7;1;0,6
2010-04-29;1,2;0,9;0,6
2010-04-30;0,7;0,9;0,6
2010-05-01;3,7;0,9;0,6
2010-05-02;0,6;0,9;0,6
2010-05-03;0,8;0,9;1
2010-05-04;0,7;0,9;1
2010-05-05;1,3;0,9;1
2010-05-06;1,1;1;1
2010-05-07;0,7;1;1
2010-05-08;11,9;1;1
2010-05-09;0,9;1,1;1
2010-05-10;1,9;1,1;0,6
2010-05-11;0,4;1,1;0,6
2010-05-12;1,5;1,2;0,6
2010-05-13;124,7;1,3;0,6
2010-05-14;0,8;1,4;0,6
2010-05-15;1,4;1,4;0,6
2010-05-16;24,5;1,5;0,6
2010-05-17;2,2;1,5;0,6
2010-05-18;2,1;1,5;0,6
2010-05-19;1,8;1,4;0,6
2010-05-20;0,8;1,3;0,6
2010-05-21;1;1,2;0,6
2010-05-22;0,8;1,1;0,6
2010-05-23;0,5;1;0,6
2010-05-24;7,4;0,9;0,9
2010-05-25;0,7;0,8;0,9
2010-05-26;1,3;0,8;0,9
2010-05-27;0,7;0,8;0,9
2010-05-28;0,7;0,8;0,9
2010-05-29;0,6;0,8;0,9
2010-05-30;26,4;0,8;0,9
2010-05-31;1,5;0,8;1,4
2010-06-01;0,9;0,8;1,4
2010-06-02;0,7;0,7;1,4
2010-06-03;0,4;0,7;1,4
2010-06-04;0,5;0,7;1,4
2010-06-05;0,6;0,8;1,4
2010-06-06;0;0,8;1,4
2010-06-07;1;0,9;0,9
2010-06-08;1;0,9;0,9
2010-06-09;1,7;1;0,9
2010-06-10;0,8;1,1;0,9
2010-06-11;0,9;1,1;0,9
2010-06-12;1,2;1,1;0,9
2010-06-13;1,8;1,1;0,9
2010-06-14;1,6;1,1;0,9
2010-06-15;0,9;1;0,9
2010-06-16;1,2;1;0,9
2010-06-17;0,7;1;0,9
2010-06-18;1,1;1;0,9
2010-06-19;0,3;1;0,9
2010-06-20;10,6;1;0,9
2010-06-21;1;1;1,9
2010-06-22;1,5;1;1,9
2010-06-23;1,2;1;1,9
2010-06-24;1,4;0,9;1,9
2010-06-25;0,5;0,8;1,9
2010-06-26;0,9;0,8;1,9
2010-06-27;33,7;0,7;1,9
2010-06-28;0,7;0,6;1,3
2010-06-29;0,2;0,6;1,3
2010-06-30;0,5;0,6;1,3
2010-07-01;1;0,6;1,3
2010-07-02;0,9;0,6;1,3
2010-07-03;0,5;0,6;1,3
2010-07-04;1,2;0,7;1,3
2010-07-05;0,6;0,7;0,6
2010-07-06;0,7;0,7;0,6
2010-07-07;0,9;0,7;0,6
2010-07-08;0,6;0,7;0,6
2010-07-09;0,6;0,8;0,6
2010-07-10;1;0,8;0,6
2010-07-11;47,3;0,8;0,6
2010-07-12;0,7;0,7;0,3
2010-07-13;1;0,7;0,3
2010-07-14;0;0,7;0,3
2010-07-15;0,5;0,6;0,3
2010-07-16;0,6;0,6;0,3
2010-07-17;0,3;0,5;0,3
2010-07-18;1,1;0,5;0,3
2010-07-19;0,6;0,5;1
2010-07-20;0,4;0,5;1
2010-07-21;0,4;0,5;1
2010-07-22;0,5;0,5;1
2010-07-23;0,7;0,5;1
2010-07-24;0,6;0,5;1
2010-07-25;1,8;0,5;1
2010-07-26;0,5;0,5;0,9
2010-07-27;0,4;0,5;0,9
2010-07-28;0,5;0,6;0,9
2010-07-29;0,4;0,6;0,9
2010-07-30;0,5;0,6;0,9
2010-07-31;1,5;0,7;0,9
2010-08-01;1,5;0,7;0,9
2010-08-02;1,1;0,7;0,6
2010-08-03;0,8;0,7;0,6
2010-08-04;1,3;0,7;0,6
2010-08-05;0,4;0,6;0,6
2010-08-06;0,4;0,6;0,6
2010-08-07;0,3;0,5;0,6
2010-08-08;1,4;0,4;0,6
2010-08-09;0,8;0,4;0,1
2010-08-10;0,2;0,4;0,1
2010-08-11;0,3;0,3;0,1
2010-08-12;0,5;0,4;0,1
2010-08-13;0,2;0,4;0,1
2010-08-14;0,3;0,4;0,1
2010-08-15;2,2;0,5;0,1
2010-08-16;0,6;0,5;0,7
2010-08-17;0,6;0,6;0,7
2010-08-18;0,9;0,6;0,7
2010-08-19;0,8;0,7;0,7
2010-08-20;0,2;0,7;0,7
2010-08-21;1,3;0,7;0,7
2010-08-22;6;0,8;0,7
2010-08-23;0,9;0,8;1,1
2010-08-24;1;0,9;1,1
2010-08-25;0,7;0,9;1,1
2010-08-26;1,2;0,9;1,1
2010-08-27;0,8;0,9;1,1
2010-08-28;1,9;0,9;1,1
2010-08-29;0,2;0,8;1,1
2010-08-30;0,3;0,8;1
2010-08-31;1;0,8;1
2010-09-01;0,7;0,9;1
2010-09-02;1,3;0,9;1
2010-09-03;0,8;1;1
2010-09-04;0,8;1;1
2010-09-05;11,6;1,1;1
2010-09-06;2,8;1,1;1,1
2010-09-07;0,8;1,1;1,1
2010-09-08;0,6;1,2;1,1
2010-09-09;2,4;1,2;1,1
2010-09-10;0,5;1,3;1,1
2010-09-11;1,1;1,4;1,1
2010-09-12;0,1;1,6;1,1
2010-09-13;3,3;1,8;1,1
2010-09-14;1,1;2;1,1
2010-09-15;1,8;2,2;1,1
2010-09-16;5;2,4;1,1
2010-09-17;2,6;2,5;1,1
2010-09-18;2;2,6;1,1
2010-09-19;97,4;2,6;1,1
2010-09-20;1,7;2,7;2
2010-09-21;3,7;2,7;2
2010-09-22;4,5;2,9;2
2010-09-23;1,2;3,1;2
2010-09-24;2,8;3,5;2
2010-09-25;2,4;3,8;2
2010-09-26;261,2;4,2;2
2010-09-27;9,7;4,6;2,7
2010-09-28;5,9;4,9;2,7
2010-09-29;5;5,1;2,7
2010-09-30;2,9;5,1;2,7
2010-10-01;5,7;5;2,7
2010-10-02;4,3;4,7;2,7
2010-10-03;531,6;4,3;2,7
2010-10-04;4,7;4;4,1
2010-10-05;5,8;3,7;4,1
2010-10-06;2,1;3,3;4,1
2010-10-07;3,6;3;4,1
2010-10-08;1,8;2,8;4,1
2010-10-09;1,4;2,6;4,1
2010-10-10;41,3;2,5;4,1
2010-10-11;3,3;2,4;4
2010-10-12;1,1;2,5;4
2010-10-13;4;2,6;4
2010-10-14;2,2;2,7;4
2010-10-15;3,8;2,8;4
2010-10-16;2,4;2,8;4
2010-10-17;133,9;2,8;4
2010-10-18;4,2;2,7;4,3
2010-10-19;2,8;2,6;4,3
2010-10-20;1,8;2,5;4,3
2010-10-21;2,4;2,4;4,3
2010-10-22;1,4;2,4;4,3
2010-10-23;1,7;2,5;4,3
2010-10-24;129,9;2,5;4,3
2010-10-25;4,2;2,5;3,6
2010-10-26;2;2,6;3,6
2010-10-27;6,1;2,6;3,6
2010-10-28;1,6;2,5;3,6
2010-10-29;1,4;2,3;3,6
2010-10-30;2,4;2,1;3,6
2010-10-31;31,1;2;3,6
2010-11-01;22,9;1,8;3,6
2010-11-02;1,1;1,7;3,6
2010-11-03;2;1,7;3,6
2010-11-04;2,1;1,7;3,6
2010-11-05;1,8;1,8;3,6
2010-11-06;0,5;1,9;3,6
2010-11-07;25,2;1,9;3,6
2010-11-08;4,7;2;2
2010-11-09;2,1;2;2
2010-11-10;1,5;1,9;2
2010-11-11;181,2;1,9;2
2010-11-12;1,2;1,7;2
2010-11-13;1,5;1,6;2
2010-11-14;0,1;1,6;2
2010-11-15;2,1;1,6;3,6
2010-11-16;1;1,7;3,6
2010-11-17;1;1,8;3,6
2010-11-18;2,4;2,1;3,6
2010-11-19;3;2,4;3,6
2010-11-20;3,7;2,8;3,6
2010-11-21;5;3,2;3,6
2010-11-22;4,1;3,5;6
2010-11-23;4;3,8;6
2010-11-24;5,9;3,9;6
2010-11-25;3,6;4,1;6
2010-11-26;1,5;4,3;6
2010-11-27;7,1;4,5;6
2010-11-28;0,9;4,7;6
2010-11-29;6,7;5;8,4
2010-11-30;5,6;5,4;8,4
2010-12-01;6,6;5,8;8,4
2010-12-02;3,9;6,2;8,4
2010-12-03;6;6,6;8,4
2010-12-04;7;7,1;8,4
2010-12-05;109,1;7,5;8,4
2010-12-06;9,2;8;12,6
2010-12-07;8,7;8,4;12,6
2010-12-08;11,5;8,9;12,6
2010-12-09;8,5;9,5;12,6
2010-12-10;6;10,3;12,6
2010-12-11;9;11,4;12,6
2010-12-12;25,8;12,7;12,6
2010-12-13;21,7;14,2;23,9
2010-12-14;10,4;16;23,9
2010-12-15;17,2;18;23,9
2010-12-16;40,1;20;23,9
2010-12-17;15;22;23,9
2010-12-18;11,2;23,7;23,9
2010-12-19;2926,7;25,5;23,9
2010-12-20;51,1;27,4;36,1
2010-12-21;21;30;36,1
2010-12-22;28,5;34,6;36,1
2010-12-23;29,4;42,6;36,1
2010-12-24;27,7;54,7;36,1
2010-12-25;7795;70,6;36,1
2010-12-26;26968,4;90,5;36,1
2010-12-27;161,4;113,1;51,9
2010-12-28;181;137,1;51,9
2010-12-29;107,3;164,3;51,9
2010-12-30;136,4;194,4;51,9
2010-12-31;125,1;227,2;51,9
2011-01-01;8508,4;263,2;51,9
2011-01-02;10059,7;299,1;51,9
2011-01-03;611,7;327,6;70
2011-01-04;429,8;346;70
2011-01-05;308,1;352,6;70
2011-01-06;382;346,9;70
2011-01-07;182,8;333,4;70
2011-01-08;197,2;316,5;70
2011-01-09;25022;298,3;70
2011-01-10;515,8;281,8;69,9
2011-01-11;270,4;270,8;69,9
2011-01-12;249;264,6;69,9
2011-01-13;232,2;259,8;69,9
2011-01-14;171,4;253;69,9
2011-01-15;114,4;243;69,9
2011-01-16;2027,9;231,8;69,9
2011-01-17;516,8;222,5;62,4
2011-01-18;269,3;219,8;62,4
2011-01-19;148,7;224,6;62,4
2011-01-20;176,3;233,7;62,4
2011-01-21;136,8;244,4;62,4
2011-01-22;102,4;254,3;62,4
2011-01-23;34643,6;262,7;62,4
2011-01-24;850,3;271,2;62,9
2011-01-25;301,7;281,1;62,9
2011-01-26;205,4;290;62,9
2011-01-27;291,8;296,1;62,9
2011-01-28;176,5;300,1;62,9
